subscription_id,idempotency_key,owner_student_id,plan_type,plan_name,classes_per_month,classes_remaining,amount_ils,billing_frequency,status,created_at,updated_at
218,user_subscription_details::218,1108,solo,Quarterly,64,0,0.00,monthly,pending,2023-09-08 06:29:48+05:30,2025-02-16 07:57:44+05:30
219,user_subscription_details::219,1321,solo,Yearly,16,0,0.00,monthly,pending,2023-09-08 09:08:17+05:30,2024-01-11 14:04:09+05:30
220,user_subscription_details::220,1248,solo,Yearly,16,4,0.00,monthly,pending,2023-09-10 06:32:16+05:30,2024-01-03 07:58:14+05:30
221,user_subscription_details::221,1322,solo,Yearly,32,8,0.00,monthly,cancelled,2023-09-10 13:54:01+05:30,2025-07-24 11:43:16+05:30
222,user_subscription_details::222,1323,solo,Quarterly,16,1,0.00,monthly,pending,2023-09-10 15:11:07+05:30,2024-04-09 12:54:56+05:30
223,user_subscription_details::223,1324,solo,Yearly,32,0,0.00,monthly,pending,2023-09-10 15:13:00+05:30,2023-11-07 18:42:04+05:30
224,user_subscription_details::224,1108,solo,Quarterly,32,0,0.00,monthly,pending,2023-09-11 06:26:04+05:30,2025-02-16 07:57:44+05:30
225,user_subscription_details::225,1325,solo,Yearly,32,0,0.00,monthly,pending,2023-09-11 07:24:01+05:30,2023-11-11 12:30:20+05:30
226,user_subscription_details::226,1326,solo,Yearly,32,0,0.00,monthly,pending,2023-09-11 10:58:37+05:30,2024-03-11 10:44:17+05:30
229,user_subscription_details::229,1330,solo,Yearly,48,12,0.00,monthly,pending,2023-09-12 07:52:16+05:30,2024-01-13 16:57:44+05:30
230,user_subscription_details::230,1331,solo,Yearly,32,8,0.00,monthly,pending,2023-09-12 07:55:53+05:30,2024-01-14 07:26:47+05:30
231,user_subscription_details::231,1332,solo,Yearly,16,0,0.00,monthly,pending,2023-09-12 19:10:07+05:30,2023-11-18 10:59:18+05:30
232,user_subscription_details::232,1333,solo,Yearly,16,0,0.00,monthly,pending,2023-09-12 19:10:22+05:30,2023-11-18 10:58:50+05:30
233,user_subscription_details::233,1108,solo,Yearly,16,0,0.00,monthly,pending,2023-09-13 06:31:43+05:30,2025-02-16 07:57:44+05:30
234,user_subscription_details::234,1257,solo,Yearly,80,0,0.00,monthly,pending,2023-09-14 07:17:50+05:30,2024-01-31 09:03:03+05:30
235,user_subscription_details::235,1335,solo,Monthly,32,0,0.00,monthly,pending,2023-09-14 17:00:49+05:30,2024-05-13 00:00:03+05:30
236,user_subscription_details::236,1108,solo,Quarterly,16,0,0.00,monthly,pending,2023-09-15 05:45:36+05:30,2025-02-16 07:57:44+05:30
237,user_subscription_details::237,1108,solo,Yearly,32,0,0.00,monthly,pending,2023-09-15 06:14:21+05:30,2025-02-16 07:57:44+05:30
238,user_subscription_details::238,1108,solo,Monthly,16,0,0.00,monthly,pending,2023-09-16 04:14:08+05:30,2025-02-16 07:57:44+05:30
239,user_subscription_details::239,1108,solo,Yearly,32,0,0.00,monthly,pending,2023-09-16 05:47:52+05:30,2025-02-16 07:57:44+05:30
240,user_subscription_details::240,1337,solo,Yearly,32,0,0.00,monthly,pending,2023-09-18 07:55:02+05:30,2023-11-18 10:57:00+05:30
241,user_subscription_details::241,1338,solo,Yearly,32,0,0.00,monthly,pending,2023-09-18 07:55:41+05:30,2023-11-18 10:56:18+05:30
242,user_subscription_details::242,1339,solo,Monthly,32,8,0.00,monthly,pending,2023-09-19 08:01:53+05:30,2024-05-18 00:00:06+05:30
243,user_subscription_details::243,1108,solo,Monthly,32,0,0.00,monthly,pending,2023-09-19 12:47:41+05:30,2025-02-16 07:57:44+05:30
244,user_subscription_details::244,1108,solo,Quarterly,80,0,0.00,monthly,pending,2023-09-19 13:56:45+05:30,2025-02-16 07:57:44+05:30
245,user_subscription_details::245,1340,solo,Yearly,32,0,0.00,monthly,pending,2023-09-19 15:53:07+05:30,2024-01-17 06:36:44+05:30
246,user_subscription_details::246,1221,solo,Yearly,16,0,0.00,monthly,pending,2023-09-20 08:25:17+05:30,2023-10-29 07:18:05+05:30
247,user_subscription_details::247,1222,solo,Yearly,16,0,0.00,monthly,pending,2023-09-20 08:26:44+05:30,2023-10-29 07:18:17+05:30
248,user_subscription_details::248,1220,solo,Yearly,16,0,0.00,monthly,pending,2023-09-20 08:28:06+05:30,2023-10-29 07:17:49+05:30
249,user_subscription_details::249,1342,solo,Yearly,48,0,0.00,monthly,pending,2023-09-20 12:59:53+05:30,2024-02-20 13:38:46+05:30
